Date,Price,Open,High,Low,Vol.,Change %
02/06/2016,376.7,386.5,386.4,372.9,78.85K,-2.53%
02/05/2016,386.5,390.6,391.1,384.5,60.92K,-1.07%
02/04/2016,390.6,368,391.8,368,101.87K,6.15%
02/03/2016,368,373.9,375.9,366.2,59.81K,-1.58%
02/02/2016,373.9,372.2,376.6,371.4,50.98K,0.47%
02/01/2016,372.2,369.8,379.8,365.3,74.35K,0.63%
01/31/2016,369.8,377.8,380.5,366.9,39.02K,-2.10%
01/30/2016,377.8,380.3,381.8,375,36.18K,-0.67%
01/29/2016,380.3,379.7,385.8,363.5,138.46K,0.16%
01/28/2016,379.7,395,395.4,376.7,77.32K,-3.88%
01/27/2016,395,389.8,397.4,389.4,43.68K,1.34%
01/26/2016,389.8,392.8,397.7,387.9,56.81K,-0.76%
01/25/2016,392.8,402.1,403.8,386.9,67.66K,-2.33%
01/24/2016,402.1,388.6,405.4,385.5,64.54K,3.48%
01/23/2016,388.6,382.6,395.4,380.3,61.38K,1.56%
01/22/2016,382.6,410.2,411.5,374.9,144.86K,-6.73%
01/21/2016,410.2,414.6,423.4,403.9,89.94K,-1.05%
01/20/2016,414.6,379.5,425.7,374,190.32K,9.26%
01/19/2016,379.5,384.4,386.7,375.9,66.35K,-1.29%
01/18/2016,384.4,382.5,387.3,373.2,69.30K,0.50%
01/17/2016,382.5,385,390.7,377.7,66.09K,-0.67%
01/16/2016,385,372.3,386.7,350.4,183.96K,3.43%
01/15/2016,372.3,429.1,430.1,364.7,268.14K,-13.25%
01/14/2016,429.1,432.2,433.7,427,46.17K,-0.71%
01/13/2016,432.2,445,443.7,420.4,92.04K,-2.89%
01/12/2016,445,447.7,448.4,443.1,44.59K,-0.60%
01/11/2016,447.7,446.2,451.1,441.8,56.59K,0.34%
01/10/2016,446.2,448.3,448.9,438.6,44.46K,-0.47%
01/09/2016,448.3,452.9,454.5,444.9,39.81K,-1.01%
01/08/2016,452.9,457,462.9,446.5,91.31K,-0.91%
01/07/2016,457,430.8,457.5,428.5,130.20K,6.09%
01/06/2016,430.8,431.2,432.1,425,43.43K,-0.09%
01/05/2016,431.2,433.3,435.3,428.9,45.03K,-0.49%
01/04/2016,433.3,430.7,435.3,428.6,53.01K,0.61%
01/03/2016,430.7,433.7,434.1,423.1,54.83K,-0.70%
01/02/2016,433.7,434,437.4,430.7,33.57K,-0.06%
01/01/2016,434,430,438,425.9,46.97K,0.94%
12/31/2015,430,427.1,433.1,417.1,65.21K,0.66%
12/30/2015,427.1,431.9,435,420.8,68.27K,-1.10%
12/29/2015,431.9,421.8,433.6,419.3,70.65K,2.41%
12/28/2015,421.8,422.4,429.9,417.1,68.35K,-0.15%
12/27/2015,422.4,415.4,425.5,406.1,67.58K,1.69%
12/26/2015,415.4,454,456.5,400.5,208.58K,-8.52%
12/25/2015,454,453,457.4,449.5,42.39K,0.24%
12/24/2015,453,442.4,460.6,441.8,79.60K,2.38%
12/23/2015,442.4,437,444.8,434.3,63.25K,1.24%
12/22/2015,437,437.6,443.2,433.3,65.79K,-0.13%
12/21/2015,437.6,441.8,445.5,424,121.99K,-0.95%
12/20/2015,441.8,461.2,462.8,431.1,121.53K,-4.21%
12/19/2015,461.2,463.2,466,452.3,61.31K,-0.43%
12/18/2015,463.2,455.5,466.1,453.5,83.41K,1.68%
12/17/2015,455.5,454,458.4,447.3,64.58K,0.34%
12/16/2015,454,462.6,465.2,437.4,185.22K,-1.87%
12/15/2015,462.6,442,464.2,440.7,107.06K,4.67%
12/14/2015,442,434.7,449.5,428.8,218.92K,1.68%
12/13/2015,434.7,432.3,441,420.8,64.14K,0.56%
12/12/2015,432.3,449.8,467.7,403.7,211.44K,-3.90%
12/11/2015,449.8,415.5,453.4,413.7,175.06K,8.26%
12/10/2015,415.5,416,420.4,409.5,71.66K,-0.12%
12/09/2015,416,410.7,424.6,403.3,147.36K,1.30%
12/08/2015,410.7,394.3,411.1,388,74.36K,4.16%
12/07/2015,394.3,393.4,398.7,381.7,96.75K,0.23%
12/06/2015,393.4,386.7,402.2,382.6,131.86K,1.73%
12/05/2015,386.7,361.7,390.3,361.5,115.20K,6.92%
